Source,Target,Weight
1114,12731,3
1115,12731,3
1116,12731,3
1117,12731,3
1118,12731,3
1119,12733,14
0,12734,4
1120,12734,1
2,12735,11
1121,12735,2
1122,12736,247
1123,12736,66
1124,12736,13
1125,12736,7
1126,12736,6
1127,12736,5
1128,12736,5
1129,12736,5
1130,12736,4
1131,12736,4
1132,12736,4
1133,12736,4
1134,12736,4
1135,12736,4
1136,12736,4
1137,12736,4
1138,12736,4
1139,12736,4
1140,12736,3
1141,12736,3
1142,12736,3
1143,12736,3
1144,12736,3
1145,12736,3
1146,12736,3
1147,12736,3
1148,12736,3
1149,12736,3
1150,12736,3
1151,12736,2
147,12737,4
218,12738,32
2,12738,24
224,12738,10
222,12738,4
231,12738,4
227,12738,3
217,12738,2
439,12738,1
1053,12738,1
606,12739,348
11,12739,11
1152,12739,1
1153,12739,1
1154,12739,1
1155,12739,1
147,12741,5
1156,12746,785
1157,12746,89
1158,12746,69
1159,12746,16
1160,12746,5
1161,12746,2
1162,12746,1
1163,12749,461
1164,12749,2
1165,12749,1
1166,12750,61
1167,12750,5
1168,12752,481
1169,12752,11
1170,12752,11
1171,12752,5
1172,12752,2
1173,12752,1
30,12754,62
175,12754,36
34,12754,28
31,12754,28
32,12754,22
33,12754,14
370,12754,10
36,12754,10
35,12754,8
171,12754,5
371,12754,4
116,12754,3
373,12754,3
375,12754,3
49,12754,3
54,12754,2
153,12754,2
376,12754,2
58,12754,2
231,12754,2
43,12754,2
377,12754,2
378,12754,2
379,12754,2
380,12754,1
381,12754,1
600,12754,1
61,12754,1
51,12754,1
1174,12754,1
1005,12755,75
34,12755,10
1175,12756,95
1176,12756,5
1177,12757,7
1175,12758,3
1178,12759,54
435,12760,1
2,12761,51
1179,12763,51
1180,12764,33
1181,12765,80
1182,12767,82
1183,12768,107
1184,12768,95
1185,12768,23
1186,12768,20
471,12768,11
490,12768,11
1187,12768,5
1188,12768,3
1189,12768,3
1017,12768,2
1190,12768,2
203,12768,2
1191,12768,2
1192,12768,1
1193,12768,1
1176,12768,1
1194,12768,1
1195,12768,1
1196,12768,1
1197,12768,1
1198,12768,1
1199,12768,1
1156,12769,1078
1158,12769,143
1157,12769,113
1160,12769,24
1159,12769,16
1200,12769,5
1201,12769,4
1202,12769,3
1161,12769,2
786,12769,1
1203,12769,1
1162,12769,1
1204,12769,1
1205,12769,1
1206,12769,1
1207,12769,1
1208,12771,132
497,12772,2
1209,12773,1
1210,12774,1
1211,12775,8
25,12777,514
1212,12777,92
1213,12777,89
1214,12777,30
1215,12777,19
1216,12777,10
1217,12777,9
1218,12777,7
1219,12777,5
1220,12777,4
1221,12777,3
1222,12777,3
1223,12777,2
1224,12777,2
1225,12777,2
1226,12777,2
1227,12777,2
1228,12777,2
1229,12777,2
1230,12777,1
1231,12777,1
